 fixture_id | league_id | season |        date_utc        | status_short | home_team_id | away_team_id 
    1180587 |        71 |   2024 | 2024-08-25 19:00:00+00 | FT           |          118 |          120
    1180592 |        71 |   2024 | 2024-08-25 19:00:00+00 | FT           |          154 |          131
    1180594 |        71 |   2024 | 2024-08-25 19:00:00+00 | FT           |          140 |          130
    1180591 |        71 |   2024 | 2024-08-25 21:30:00+00 | FT           |          126 |          136
    1180585 |        71 |   2024 | 2024-08-25 22:00:00+00 | FT           |          119 |          135
    1180588 |        71 |   2024 | 2024-08-25 23:00:00+00 | FT           |          127 |          794
    1180589 |        71 |   2024 | 2024-08-27 00:00:00+00 | FT           |          133 |          134
    1180396 |        71 |   2024 | 2024-08-28 22:30:00+00 | FT           |          135 |          119
    1180544 |        71 |   2024 | 2024-08-28 22:30:00+00 | FT           |          140 |          794
    1180603 |        71 |   2024 | 2024-08-31 21:30:00+00 | FT           |         1193 |          140
    1180599 |        71 |   2024 | 2024-09-01 00:00:00+00 | FT           |          120 |          154
    1180595 |        71 |   2024 | 2024-09-01 14:00:00+00 | FT           |          130 |         1062
    1180596 |        71 |   2024 | 2024-09-01 14:00:00+00 | FT           |          135 |          144
    1180600 |        71 |   2024 | 2024-09-01 19:00:00+00 | FT           |          131 |          127
    1180597 |        71 |   2024 | 2024-09-01 21:30:00+00 | FT           |          136 |          133
    1180598 |        71 |   2024 | 2024-09-01 21:30:00+00 | FT           |          124 |          126
    1180601 |        71 |   2024 | 2024-09-01 21:30:00+00 | FT           |          794 |          118
    1180602 |        71 |   2024 | 2024-09-01 21:30:00+00 | FT           |          134 |          121
    1180604 |        71 |   2024 | 2024-09-01 21:30:00+00 | FT           |          152 |          119
    1180513 |        71 |   2024 | 2024-09-05 23:00:00+00 | FT           |         1193 |          152
    1180535 |        71 |   2024 | 2024-09-11 22:30:00+00 | FT           |          119 |          154
    1180613 |        71 |   2024 | 2024-09-14 19:00:00+00 | FT           |          144 |          136
    1180612 |        71 |   2024 | 2024-09-14 21:30:00+00 | FT           |          134 |          154
    1180609 |        71 |   2024 | 2024-09-15 00:00:00+00 | FT           |          120 |          131
    1180610 |        71 |   2024 | 2024-09-15 19:00:00+00 | FT           |          121 |          140
    1180611 |        71 |   2024 | 2024-09-15 19:00:00+00 | FT           |          794 |          130
    1180614 |        71 |   2024 | 2024-09-15 19:00:00+00 | FT           |          152 |          124
    1180606 |        71 |   2024 | 2024-09-15 21:30:00+00 | FT           |          135 |          126
    1180607 |        71 |   2024 | 2024-09-15 21:30:00+00 | FT           |          118 |         1062
    1180608 |        71 |   2024 | 2024-09-15 21:30:00+00 | FT           |          127 |          133
    1180605 |        71 |   2024 | 2024-09-16 23:00:00+00 | FT           |          119 |         1193
    1180617 |        71 |   2024 | 2024-09-21 19:00:00+00 | FT           |          136 |          152
    1180620 |        71 |   2024 | 2024-09-21 19:00:00+00 | FT           |          131 |          144
    1180618 |        71 |   2024 | 2024-09-21 21:30:00+00 | FT           |          124 |          120
    1180622 |        71 |   2024 | 2024-09-22 00:00:00+00 | FT           |          154 |          118
    1180616 |        71 |   2024 | 2024-09-22 19:00:00+00 | FT           |         1062 |          794
    1180619 |        71 |   2024 | 2024-09-22 19:00:00+00 | FT           |          133 |          121
    1180615 |        71 |   2024 | 2024-09-22 21:30:00+00 | FT           |          130 |          127
    1180621 |        71 |   2024 | 2024-09-22 21:30:00+00 | FT           |          126 |          119
    1180623 |        71 |   2024 | 2024-09-22 21:30:00+00 | FT           |         1193 |          135
    1180624 |        71 |   2024 | 2024-09-23 21:30:00+00 | FT           |          140 |          134
    1180395 |        71 |   2024 | 2024-09-25 22:00:00+00 | FT           |          130 |          140
    1180511 |        71 |   2024 | 2024-09-25 22:00:00+00 | FT           |          794 |          119
    1180630 |        71 |   2024 | 2024-09-28 21:30:00+00 | FT           |          121 |         1062
    1180629 |        71 |   2024 | 2024-09-29 00:00:00+00 | FT           |          120 |          130
    1180634 |        71 |   2024 | 2024-09-29 14:00:00+00 | FT           |          152 |          794
    1180631 |        71 |   2024 | 2024-09-29 19:00:00+00 | FT           |          126 |          131
    1180632 |        71 |   2024 | 2024-09-29 19:00:00+00 | FT           |          154 |         1193
    1180633 |        71 |   2024 | 2024-09-29 19:00:00+00 | FT           |          144 |          124
    1180625 |        71 |   2024 | 2024-09-29 21:30:00+00 | FT           |          119 |          136
    1180626 |        71 |   2024 | 2024-09-29 21:30:00+00 | FT           |          135 |          133
    1180627 |        71 |   2024 | 2024-09-29 21:30:00+00 | FT           |          118 |          140
    1180628 |        71 |   2024 | 2024-09-29 23:00:00+00 | FT           |          127 |          134
    1180644 |        71 |   2024 | 2024-10-03 22:00:00+00 | FT           |          140 |          144
    1180638 |        71 |   2024 | 2024-10-04 00:30:00+00 | FT           |          124 |          135
    1180635 |        71 |   2024 | 2024-10-05 00:30:00+00 | FT           |          130 |          154
